parameter,value,units,classification,confidence,source,reference,range,notes
baseline.branches.overrides.C03.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C03.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C03.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C03.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C03.orifice_diameter_m,0.006483246038381632,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C04.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C04.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C04.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C04.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C04.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C04.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C04.orifice_diameter_m,0.0065547166358267015,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C05.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C05.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C05.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C05.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C05.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C05.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C05.orifice_diameter_m,0.006623845982654081,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C06.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C06.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C06.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C06.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C06.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C06.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C06.orifice_diameter_m,0.006690119272723017,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C07.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C07.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C07.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C07.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C07.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C07.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C07.orifice_diameter_m,0.006752997820495816,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C08.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C08.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C08.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C08.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C08.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C08.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C08.orifice_diameter_m,0.006811934135287234,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C09.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C09.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C09.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C09.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C09.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C09.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C09.orifice_diameter_m,0.0068663933242271,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S01.diameter_m,0.006,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S01.tube_length_m,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S01.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S01.coldplate_K,20000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S01.qdc_K,5000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S01.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S01.orifice_diameter_m,0.0017801868542356863,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S02.diameter_m,0.006,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S02.tube_length_m,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S02.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S02.coldplate_K,20000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S02.qdc_K,5000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S02.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S02.orifice_diameter_m,0.0017807389892963662,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S03.diameter_m,0.006,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S03.tube_length_m,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S03.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S03.coldplate_K,20000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S03.qdc_K,5000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S03.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S03.orifice_diameter_m,0.001781271806114026,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S04.diameter_m,0.006,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S04.tube_length_m,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S04.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S04.coldplate_K,20000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S04.qdc_K,5000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S04.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S04.orifice_diameter_m,0.0017817855942845232,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S05.diameter_m,0.006,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S05.tube_length_m,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S05.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S05.coldplate_K,20000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S05.qdc_K,5000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S05.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S05.orifice_diameter_m,0.001782280648968229,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S06.diameter_m,0.006,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S06.tube_length_m,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S06.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S06.coldplate_K,20000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S06.qdc_K,5000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S06.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S06.orifice_diameter_m,0.0017827572707454994,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S07.diameter_m,0.006,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S07.tube_length_m,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S07.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S07.coldplate_K,20000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S07.qdc_K,5000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S07.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S07.orifice_diameter_m,0.0017832157654721775,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S08.diameter_m,0.006,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S08.tube_length_m,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S08.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S08.coldplate_K,20000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S08.qdc_K,5000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S08.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S08.orifice_diameter_m,0.0017836564441354,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S09.diameter_m,0.006,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S09.tube_length_m,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S09.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S09.coldplate_K,20000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S09.qdc_K,5000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S09.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.S09.orifice_diameter_m,0.0017840796227099637,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C10.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C10.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C10.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C10.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C10.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C10.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C10.orifice_diameter_m,0.007474679259856348,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C11.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C11.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
